Ind,mean_GWC,K,SO4,B,Zn,Mn,Cu,Fe,Ca,Mg,Na,Bases,CEC,TKN,S,N,NO3,NH4,P_Bicarb,pH,Resp_24,Sand,Silt,Clay,SoilTemp_C,VolWaterCont,C_Percent,WEOC,WETN,salt_C,salt_N,MBC,MBN,ROI.volume.xyz,Voxel.size,Conn_Pores,PSD_0.1,PSD_0.2,PSD_0.3,PSD_0.4,PSD_0.5,PSD_0.75,PSD_1,PSD_5,PSD_10,PSD_25,PSD_50,PSD_over50,pore size,porevolume,pore vol fraction,wet bulk density,perm_x,flowRate_x,tort_x,perm_y,flowRate_y,tort_y,perm_z,flowRate_z,tort_z,sum_amino,sum_carbs,sum_condHC,sum_lignin,sum_protein,sum_tanin,sum_unsatHC,sum_lipid,ID,NLCD.Land.Cover.Class.x,landcover,organicIndex_unweighted,organicIndex_weighted
43,1.187,109,15,0.17,1.3,62.5,1.7,24,1.35,0.42,0.09,2.14,9.3,0.242,159.79,0.242,0.0004,1.50E-03,0.0017,4.94,331.1,37.3,39.8,23,23.2,0.382,3.761,0.261,0.024,0.125153957,0.010081735,0.099618035,0.013198249,NA,0.0381,94.85,961693,68477,11742,3565,1544,1138,269,145,0,0,1,0,0.063453,0.013288,17.18,2.25,5592.35,80551.57,1.65,6548.931,114448.5,1.58,2887.781,29230.14,1.71,3.417482397,1.528421776,20.07556242,44.49596428,12.00412159,12.82843895,2.455778808,2.696204705,27,NA,3,0,0
44,1.056,39,3,0.16,0.2,0.5,0.1,39,0.35,0.09,0.06,0.6,0.96,0.054,33.35,0.054,0.0005,9.00E-04,1.50E-03,5.09,7.3,92.2,1,6.9,26,0.097,0.297,0.019,0.001,0.03152702,0.003084586,0.03555159,0.004590229,NA,0.0381,86.76,742926,253956,39817,8436,2138,1095,147,58,0,0,1,0,0.089308,0.008217,13.41,1.86,530.3367,7562.567,1.59,591.333,10270.01,1.609,121.1398,1231.21,1.71,4.976541555,2.949061662,10.75737265,41.97386059,15.90147453,10.90817694,4.339812332,4.741957105,28,NA,8,0,0
45,1.056,39,3,0.16,0.2,0.5,0.1,39,0.35,0.09,0.06,0.6,0.96,0.054,33.35,0.054,0.0005,9.00E-04,1.50E-03,7.87,7.3,92.2,1,6.9,26,0.097,0.297,0.019,0.001,0.03152702,0.003084586,0.03555159,0.004590229,NA,0.0381,86.76,742926,253956,39817,8436,2138,1095,147,58,0,0,1,0,0.089308,0.008217,13.41,1.86,530.3367,7562.567,1.59,591.333,10270.01,1.609,121.1398,1231.21,1.71,4.976541555,2.949061662,10.75737265,41.97386059,15.90147453,10.90817694,4.339812332,4.741957105,29,NA,8,0,0
46,1.056,39,3,0.16,0.2,0.5,0.1,39,0.35,0.09,0.06,0.6,0.96,0.054,33.35,0.054,0.0005,9.00E-04,1.40E-03,5.09,7.3,92.2,1,6.9,26,0.097,0.297,0.019,0.001,0.03152702,0.003084586,0.03555159,0.004590229,NA,0.0381,86.76,742926,253956,39817,8436,2138,1095,147,58,0,0,1,0,0.089308,0.008217,13.41,1.86,530.3367,7562.567,1.59,591.333,10270.01,1.609,121.1398,1231.21,1.71,4.976541555,2.949061662,10.75737265,41.97386059,15.90147453,10.90817694,4.339812332,4.741957105,30,NA,8,0,0
47,1.056,39,3,0.16,0.2,0.5,0.1,39,0.35,0.09,0.06,0.6,0.96,0.054,33.35,0.054,0.0005,9.00E-04,1.40E-03,7.87,7.3,92.2,1,6.9,26,0.097,0.297,0.019,0.001,0.03152702,0.003084586,0.03555159,0.004590229,NA,0.0381,86.76,742926,253956,39817,8436,2138,1095,147,58,0,0,1,0,0.089308,0.008217,13.41,1.86,530.3367,7562.567,1.59,591.333,10270.01,1.609,121.1398,1231.21,1.71,4.976541555,2.949061662,10.75737265,41.97386059,15.90147453,10.90817694,4.339812332,4.741957105,31,NA,8,0,0
48,1.062,92,2,0.14,0.2,2.3,0.1,33,1.59,0.5,0.1,2.43,1.7,0.058,30.12,0.058,0.0004,1.00E-03,0.0017,5.08,15.2,91.3,1.9,6.9,26,0.097,0.818,0.033,0.003,0.033755446,0.003648255,0.0768026,0.009688609,NA,0.0381,66.68,722905,263307,47488,10362,2822,1447,173,69,0,0,1,0,0.094054,0.00414,8.85,1.98,124.5097,1787.965,1.79,142.3717,2460.248,1.68,100.9725,1017.642,1.63,3.87606032,2.049952875,17.74269557,40.22148916,14.56173421,8.76531574,5.301602262,5.325164939,32,NA,8,0,0
49,1.062,92,2,0.14,0.2,2.3,0.1,33,1.59,0.5,0.1,2.43,1.7,0.058,30.12,0.058,0.0004,1.00E-03,0.0017,6.01,15.2,91.3,1.9,6.9,26,0.097,0.818,0.033,0.003,0.033755446,0.003648255,0.0768026,0.009688609,NA,0.0381,66.68,722905,263307,47488,10362,2822,1447,173,69,0,0,1,0,0.094054,0.00414,8.85,1.98,124.5097,1787.965,1.79,142.3717,2460.248,1.68,100.9725,1017.642,1.63,3.87606032,2.049952875,17.74269557,40.22148916,14.56173421,8.76531574,5.301602262,5.325164939,33,NA,8,0,0
52,1.205,68,3,0.13,1.2,0.8,0.3,26,4.18,0.35,0.04,4.74,15.38,0.083,16.56,0.083,0.0004,7.00E-04,8.00E-03,7.08,75.4,80.05,9.97,9.97,19.1,0.345,1.393,0.099,0.013,0.04979544,0.006563494,0.075642246,0.011870366,NA,0.0381,51.42,920260,108261,15330,3024,864,587,139,108,0,1,0,0,0.07591,0.001731,7.49,2.21,1.5318,22.56,1.68,20.32,349.142,1.65,5.0316,49.7993,1.93,0.886112725,0.203370134,41.42940151,36.60662406,3.805926787,13.40790238,1.844857641,1.438117374,34,NA,4,0,0
53,1.168,34,6,0.11,0.4,1.7,0.5,35,4.32,0.46,0.04,4.91,5.89,0.127,72.86,0.127,0.0006,8.00E-04,7.80E-03,7.09,44.83,88.03,3.99,7.98,19.1,0.345,1.701,0.063,0.022,0.048804955,0.007942472,0.131992705,0.024465237,NA,0.0381,75.5,914260,115929,13648,2913,919,651,160,93,0,0,1,0,0.07422,0.002794,9.02,2.22,278.045,4022.209,1.59,445.659,7813.65,1.57,39.748,393.52,2.01,2.083850161,0.42173158,35.22699082,33.14314066,8.707516745,15.10791367,1.935003721,3.125775242,35,NA,4,0,0
54,1.204,86,14,0.58,6.7,11.1,4.3,50,10.04,1.52,0.13,11.91,11.83,0.164,222,0.164,0.0007,6.00E-04,1.41E-02,6.71,11.36,40.53,38.97,20.51,16.5,0.4505,10.648,0.014,0.004,0.046455002,0.005199317,0.072982726,0.007739399,NA,0.0381,83.93,1033741,14151,472,111,38,40,10,10,0,1,0,0,0.06115,0.0011683,7.1,2.93,55.0489,576.573,1.7,765.922,10098.93,1.69,20.193,268.48,2.39,6.530214425,1.218323587,3.460038986,48.34307992,21.78362573,9.064327485,4.532163743,4.580896686,36,NA,3,0,0
55,1.36,115,3,0.08,0.6,2,0.7,48,11.41,2.07,0.08,13.85,9.43,0.283,240.2,0.283,0.0016,0.0012,0.019,6.42,7.53,26.03,55.98,17.99,16.5,0.4505,3.02,0.024,0.036,0.057411243,0.010457656,0.089148821,0.017333335,NA,0.0381,74.91,1000900,43409,2823,774,309,266,52,40,0,1,0,0,0.062415,0.00151,6.75,2.64,8.6501,123.608,1.95,22.005,388.7201,1.67,8.089,79.927,1.77,3.511801957,0.748416811,13.29879102,50.25906736,11.51410478,17.38629822,0.921128382,2.07253886,37,NA,3,0,0
60,1.264,125,28,0.45,1.6,8.3,0.7,158,1.35,0.61,0.09,2.37,11.89,0.12,135.59,0.12,0.0006,1.60E-03,0.0307,4.61,28.7,45.1,27.8,27.1,22.3,0.466,1.286,0.076,0.004,0.087306995,0.008909214,0.123107861,0.014594832,NA,0.0381,87.11,984963,49271,8865,2963,1264,909,217,121,0,1,0,0,0.061997,0.005421,6.61,2.34,322.1213,4667.878,1.63,130.5825,2272.8,1.73,364.5026,3686.708,1.6,4.196978176,3.397553761,14.16580062,46.09481174,11.15996483,8.625789432,4.053081781,2.877927892,38,NA,3,0,0
61,1.551,194,23,0.36,4.5,35.5,1.7,153,3.55,1.44,0.13,5.62,19.03,0.27,230.41,0.27,0.0005,3.10E-03,0.0192,5.34,443.7,39.1,37.8,23.1,22.3,0.466,3.959,0.204,0.013,0.073054982,0.011639114,0.388855328,0.088745081,NA,0.0381,93.87,671908,33946,5109,1971,884,712,169,150,0,0,1,0,0.061702,0.017045,8.82,2.14,1395.444,20160.43,1.57,665.8608,11633.01,1.59,205.3484,2073.659,1.82,3.766140603,2.797704448,19.3956241,43.1133429,10.15961263,9.890602582,3.272955524,2.18794835,39,NA,3,0,0
